rotation,total_allocations,total_frees,outstanding_allocations
0,4444,444,4000
0,4445,444,4001
1,4445,444,4001
2,4446,445,4001
3,4446,445,4001
4,4459,447,4012
5,4459,447,4012
6,4472,449,4023
7,4472,449,4023
8,4472,449,4023
9,4473,450,4023
10,4478,451,4027
11,4483,452,4031
12,4496,454,4042
13,4496,454,4042
14,4496,454,4042
15,4496,454,4042
16,4496,454,4042
17,4496,454,4042
18,4496,454,4042
19,4509,456,4053
20,4509,456,4053
21,4509,456,4053
22,4515,456,4059
23,4515,456,4059
24,4520,457,4063
25,4520,457,4063
26,4520,457,4063
27,4525,458,4067
28,4525,458,4067
29,4525,458,4067
30,4525,458,4067
31,4531,458,4073
32,4531,458,4073
33,4536,459,4077
34,4541,460,4081
35,4541,460,4081
36,4546,461,4085
37,4546,461,4085
38,4552,461,4091
39,4552,461,4091
40,4565,463,4102
41,4571,463,4108
42,4572,464,4108
43,4572,464,4108
44,4572,464,4108
45,4572,464,4108
46,4572,464,4108
47,4577,465,4112
48,4577,465,4112
49,4577,465,4112
50,4590,467,4123
51,4595,468,4127
52,4595,468,4127
53,4600,468,4132
54,4600,468,4132
55,4606,468,4138
56,4606,468,4138
57,4606,468,4138
58,4611,469,4142
59,4616,470,4146
60,4621,471,4150
61,4621,471,4150
62,4621,471,4150
63,4621,471,4150
64,4627,471,4156
65,4627,471,4156
66,4632,472,4160
67,4637,473,4164
68,4637,473,4164
69,4642,474,4168
70,4655,476,4179
71,4655,476,4179
72,4660,476,4184
73,4660,476,4184
74,4673,478,4195
75,4678,479,4199
76,4678,479,4199
77,4683,480,4203
78,4683,480,4203
79,4683,480,4203
80,4696,482,4214
81,4696,482,4214
82,4696,482,4214
83,4696,482,4214
84,4701,483,4218
85,4706,484,4222
86,4706,484,4222
87,4706,484,4222
88,4712,484,4228
89,4718,484,4234
90,4718,484,4234
91,4718,484,4234
92,4719,485,4234
93,4719,485,4234
94,4719,485,4234
95,4719,485,4234
96,4719,485,4234
97,4719,485,4234
98,4719,485,4234
99,4719,485,4234
100,4724,486,4238
101,4724,486,4238
102,4724,486,4238
103,4724,486,4238
104,4724,486,4238
105,4724,486,4238
106,4729,487,4242
107,4734,488,4246
108,4734,488,4246
109,4734,488,4246
110,4734,488,4246
111,4734,488,4246
112,4734,488,4246
113,4739,489,4250
114,4752,491,4261
115,4757,491,4266
116,4757,491,4266
117,4757,491,4266
118,4763,491,4272
119,4763,491,4272
120,4769,491,4278
121,4769,491,4278
122,4774,492,4282
123,4774,492,4282
124,4774,492,4282
125,4780,492,4288
126,4793,494,4299
127,4793,494,4299
128,4793,494,4299
129,4793,494,4299
130,4799,494,4305
131,4804,495,4309
132,4804,495,4309
133,4804,495,4309
134,4810,495,4315
135,4810,495,4315
136,4823,497,4326
137,4823,497,4326
138,4823,497,4326
139,4828,498,4330
140,4834,498,4336
141,4834,498,4336
142,4839,498,4341
143,4852,500,4352
144,4858,500,4358
145,4858,500,4358
146,4858,500,4358
147,4863,501,4362
148,4863,501,4362
149,4863,501,4362
150,4869,501,4368
151,4869,501,4368
152,4869,501,4368
153,4874,502,4372
154,4874,502,4372
155,4874,502,4372
156,4874,502,4372
157,4874,502,4372
158,4874,502,4372
159,4874,502,4372
160,4887,504,4383
161,4892,505,4387
