rotation,total_allocations,total_frees,outstanding_allocations
0,4496,445,4051
0,4496,445,4051
1,4496,445,4051
2,4496,445,4051
3,4501,446,4055
4,4514,448,4066
5,4514,448,4066
6,4514,448,4066
7,4514,448,4066
8,4514,448,4066
9,4514,448,4066
10,4514,448,4066
11,4514,448,4066
12,4514,448,4066
13,4514,448,4066
14,4514,448,4066
15,4520,448,4072
16,4533,450,4083
17,4546,452,4094
18,4547,452,4095
19,4548,453,4095
20,4553,454,4099
21,4553,454,4099
22,4558,455,4103
23,4559,456,4103
24,4569,460,4109
25,4574,461,4113
26,4580,461,4119
27,4580,461,4119
28,4581,462,4119
29,4587,462,4125
30,4587,462,4125
31,4587,462,4125
32,4587,462,4125
33,4587,462,4125
34,4587,462,4125
35,4587,462,4125
36,4587,462,4125
37,4587,462,4125
38,4587,462,4125
39,4587,462,4125
40,4593,462,4131
41,4593,462,4131
42,4599,462,4137
43,4604,463,4141
44,4604,463,4141
45,4609,464,4145
46,4614,465,4149
47,4614,465,4149
48,4614,465,4149
49,4614,465,4149
50,4614,465,4149
51,4627,467,4160
52,4640,469,4171
53,4646,469,4177
54,4651,470,4181
55,4664,472,4192
56,4665,473,4192
57,4670,473,4197
58,4670,473,4197
59,4670,473,4197
60,4670,473,4197
61,4676,473,4203
62,4676,473,4203
63,4681,474,4207
64,4681,474,4207
65,4681,474,4207
66,4681,474,4207
67,4681,474,4207
68,4681,474,4207
69,4686,474,4212
70,4686,474,4212
71,4686,474,4212
72,4686,474,4212
73,4686,474,4212
74,4686,474,4212
75,4686,474,4212
76,4686,474,4212
77,4686,474,4212
78,4686,474,4212
79,4691,475,4216
80,4696,476,4220
81,4696,476,4220
82,4702,476,4226
83,4702,476,4226
84,4702,476,4226
85,4707,477,4230
86,4707,477,4230
87,4713,477,4236
88,4718,478,4240
89,4718,478,4240
90,4728,482,4246
91,4728,482,4246
92,4728,482,4246
93,4728,482,4246
94,4728,482,4246
95,4741,484,4257
96,4741,484,4257
97,4741,484,4257
98,4754,486,4268
99,4760,486,4274
100,4760,486,4274
101,4760,486,4274
102,4765,487,4278
103,4771,487,4284
104,4776,488,4288
105,4782,488,4294
106,4787,488,4299
107,4787,488,4299
108,4787,488,4299
109,4788,488,4300
