rotation,total_allocations,total_frees,outstanding_allocations
0,4444,444,4000
0,4449,445,4004
1,4449,445,4004
2,4462,447,4015
3,4475,449,4026
4,4488,451,4037
5,4493,452,4041
6,4499,452,4047
7,4505,452,4053
8,4511,452,4059
9,4511,452,4059
10,4516,453,4063
11,4529,455,4074
12,4534,456,4078
13,4534,456,4078
14,4540,456,4084
15,4545,457,4088
16,4546,457,4089
17,4546,457,4089
18,4546,457,4089
19,4551,458,4093
20,4564,460,4104
21,4564,460,4104
22,4564,460,4104
23,4577,462,4115
24,4577,462,4115
25,4577,462,4115
26,4583,462,4121
27,4583,462,4121
28,4589,462,4127
29,4589,462,4127
30,4589,462,4127
31,4589,462,4127
32,4589,462,4127
33,4602,464,4138
34,4602,464,4138
35,4602,464,4138
